Algorithm,Alpha,Final Avg Train Reward,Eval Mean Reward,Eval Mean Length,Episode Reaches Threshold,Reward AUC,Final Mean Episode Length
sarsa,0.1,-23.49733333333333,-15.0,15.0,281.0,-25690.233333333337,18.217333333333332
q_learning,0.1,-50.20666666666666,-13.0,13.0,276.0,-34721.53333333333,17.272666666666666
sarsa,0.3,-22.698666666666668,-17.0,17.0,133.0,-18388.5,19.332666666666668
q_learning,0.3,-48.039333333333325,-13.0,13.0,100.0,-28985.833333333332,16.82133333333333
sarsa,0.5,-25.72533333333333,-17.0,17.0,102.0,-18381.833333333336,21.765333333333334
q_learning,0.5,-47.14066666666667,-13.0,13.0,155.0,-28192.933333333334,16.714666666666666
sarsa,0.7,-34.91933333333333,-17.0,17.0,,-21792.3,28.715333333333334
q_learning,0.7,-51.05066666666667,-13.0,13.0,,-27714.066666666673,16.92866666666667
sarsa,0.9,-72.60933333333334,-17.0,17.0,,-30998.7,52.215333333333334
q_learning,0.9,-52.06466666666666,-13.0,13.0,64.0,-27611.199999999997,16.886666666666667
